id	Gene	SYMBOL
11	KCNJ10	KCNJ10
11	KIF14	KIF14
11	LFNG	LFNG
11	MEOX1	MEOX1
11	MESP2	MESP2
11	MKS1	MKS1
11	MTHFD1	MTHFD1
11	MTHFR	MTHFR
11	MTR	MTR
11	MTRR	MTRR
11	NODAL	NODAL
11	NPHP3	NPHP3
11	PIK3CA	PIK3CA
11	PTCH1	PTCH1
11	PTK7	PTK7
11	RPGRIP1L	RPGRIP1L
11	SHROOM3	SHROOM3
11	T	T
11	TBX6	TBX6
11	TCTN2	TCTN2
11	TGIF1	TGIF1
11	TMEM216	TMEM216
11	TMEM231	TMEM231
11	TMEM5	TMEM5
11	TMEM67	TMEM67
11	VANGL1	VANGL1
11	VANGL2	VANGL2
11	ZIC2	ZIC2
11	HPE1	HPE1
13	SCN5A	SCN5A
13	KCNH2	KCNH2
13	ABCC9	ABCC9
13	ANK2	ANK2
13	CACNA1C	CACNA1C
13	CACNA2D1	CACNA2D1
13	CACNB2	CACNB2
13	CAV3	CAV3
13	DLG1	DLG1
13	GPD1L	GPD1L
13	HCN4	HCN4
13	KCND3	KCND3
13	KCNE3	KCNE3
13	KCNE5	KCNE5
13	KCNJ8	KCNJ8
13	PKP2	PKP2
13	RANGRF	RANGRF
13	SCN10A	SCN10A
13	SCN1B	SCN1B
13	SCN2B	SCN2B
13	SCN3B	SCN3B
13	SLMAP	SLMAP
13	TRPM4	TRPM4
17	BRCA2	BRCA2
17	MLH1	MLH1
17	MSH2	MSH2
17	MSH6	MSH6
17	PMS2	PMS2
18	AQP2	AQP2
18	AVPR2	AVPR2
18	AVP	AVP
18	SLC12A1	SLC12A1
18	WFS1	WFS1
19	MT-TK	MT-TK
19	EGFR	EGFR
19	HMGA2	HMGA2
19	MDM2	MDM2
20	AAAS	AAAS
20	ABCB7	ABCB7
20	ABHD12	ABHD12
20	AFG3L2	AFG3L2
20	AMPD2	AMPD2
20	ANO10	ANO10
20	AP1S2	AP1S2
20	APTX	APTX
20	ARSA	ARSA
20	ATCAY	ATCAY
20	ATM	ATM
20	ATP1A3	ATP1A3
20	CA8	CA8
20	CACNA1A	CACNA1A
20	CACNA1G	CACNA1G
20	CACNA2D2	CACNA2D2
20	CAMTA1	CAMTA1
20	CASK	CASK
20	CHMP1A	CHMP1A
20	CLCN2	CLCN2
20	CLN6	CLN6
20	CLP1	CLP1
20	COQ8A	COQ8A
20	COX20	COX20
20	CP	CP
20	CSTB	CSTB
20	CWF19L1	CWF19L1
20	CYP27A1	CYP27A1
20	CYP2U1	CYP2U1
20	DAGLA	DAGLA
20	DARS2	DARS2
20	DDHD2	DDHD2
20	DNAJC19	DNAJC19
20	DNAJC5	DNAJC5
20	DNMT1	DNMT1
20	EIF2B1	EIF2B1
20	EIF2B2	EIF2B2
20	EIF2B3	EIF2B3
20	EIF2B4	EIF2B4
20	EIF2B5	EIF2B5
20	ELOVL4	ELOVL4
20	EPM2A	EPM2A
20	EXOSC3	EXOSC3
20	FGF14	FGF14
20	FLVCR1	FLVCR1
20	FOLR1	FOLR1
20	FXN	FXN
20	GBA2	GBA2
20	GFAP	GFAP
20	GJC2	GJC2
20	GOSR2	GOSR2
20	GPAA1	GPAA1
20	GRID2	GRID2
20	GRM1	GRM1
20	HEXA	HEXA
20	HEXB	HEXB
20	ITPR1	ITPR1
20	KCNA1	KCNA1
20	KCNC3	KCNC3
20	KCND3	KCND3
20	KCNJ10	KCNJ10
20	KIF1C	KIF1C
20	MARS2	MARS2
20	MMACHC	MMACHC
20	MRE11	MRE11
20	MT-ATP6	MT-ATP6
20	MTTP	MTTP
20	NFASC	NFASC
20	NHLRC1	NHLRC1
20	NKX6-2	NKX6-2
20	NPC1	NPC1
20	NPC2	NPC2
20	NUS1	NUS1
20	OPA3	OPA3
20	OPHN1	OPHN1
20	PAX6	PAX6
20	PDYN	PDYN
20	PEX16	PEX16
20	PLA2G6	PLA2G6
20	PMPCA	PMPCA
20	PNKP	PNKP
20	PNPLA6	PNPLA6
20	POLG	POLG
20	POLR3A	POLR3A
20	PRKCG	PRKCG
20	PRNP	PRNP
20	PRRT2	PRRT2
20	RARS2	RARS2
20	RNF170	RNF170
20	RNF216	RNF216
20	SACS	SACS
20	SCN8A	SCN8A
20	SEPSECS	SEPSECS
20	SETX	SETX
20	SIL1	SIL1
20	SLC1A3	SLC1A3
20	SLC2A1	SLC2A1
20	SLC9A6	SLC9A6
20	SNX14	SNX14
20	SPG7	SPG7
20	SPTBN2	SPTBN2
20	SRD5A3	SRD5A3
20	STUB1	STUB1
20	SYNE1	SYNE1
20	TGM6	TGM6
20	TMEM240	TMEM240
20	TPP1	TPP1
20	TSEN2	TSEN2
20	TSEN54	TSEN54
20	TTBK2	TTBK2
20	TTC19	TTC19
20	TTPA	TTPA
20	TUBB4A	TUBB4A
20	TWNK	TWNK
20	UCHL1	UCHL1
20	VLDLR	VLDLR
20	VPS13D	VPS13D
20	VRK1	VRK1
20	WDR73	WDR73
20	WDR81	WDR81
20	WFS1	WFS1
20	WWOX	WWOX
20	XRCC1	XRCC1
20	CHP1	CHP1
20	COG5	COG5
20	EEF2	EEF2
20	MVK	MVK
20	POLR3K	POLR3K
20	SAR1B	SAR1B
20	VAMP1	VAMP1
20	AARS	AARS
20	ALAS2	ALAS2
20	ATN1	ATN1
20	ATP2B3	ATP2B3
20	ATP8A2	ATP8A2
20	ATXN1	ATXN1
20	ATXN10	ATXN10
20	ATXN2	ATXN2
20	ATXN3	ATXN3
20	ATXN7	ATXN7
20	ATXN8	ATXN8
20	BEAN1	BEAN1
20	CACNB4	CACNB4
20	CCDC88C	CCDC88C
20	DAB1	DAB1
20	DMXL2	DMXL2
20	DYNC1H1	DYNC1H1
20	ELOVL5	ELOVL5
20	FMR1	FMR1
20	MTPAP	MTPAP
20	NAGLU	NAGLU
20	NOP56	NOP56
20	PAX2	PAX2
20	PCLO	PCLO
20	PIK3R5	PIK3R5
20	PPP2R2B	PPP2R2B
20	PRICKLE1	PRICKLE1
20	RELN	RELN
20	RUBCN	RUBCN
20	SYT14	SYT14
20	TBP	TBP
20	TDP1	TDP1
20	TSEN34	TSEN34
20	UBR4	UBR4
20	VPS53	VPS53
20	ZFYVE26	ZFYVE26
20	ZNF592	ZNF592
23	NCSTN	NCSTN
23	PSEN1	PSEN1
23	PSENEN	PSENEN
23	FGFR2	FGFR2
23	GJB2	GJB2
23	PSTPIP1	PSTPIP1
23	IL12RB1	IL12RB1
23	IL22	IL22
23	KRT17	KRT17
23	MEFV	MEFV
23	TNF	TNF
24	CAST	CAST
24	CDSN	CDSN
24	CSTA	CSTA
24	SERPINB8	SERPINB8
24	TGM5	TGM5
24	CARD14	CARD14
24	CHST8	CHST8
24	EDA	EDA
24	KRT1	KRT1
24	KRT10	KRT10
24	KRT2	KRT2
24	TP63	TP63
24	TRPV3	TRPV3
25	ALG1	ALG1
25	ALG11	ALG11
25	ALG12	ALG12
25	ALG14	ALG14
25	ALG3	ALG3
25	ALG6	ALG6
25	ALG8	ALG8
25	ALG9	ALG9
25	ATP6AP1	ATP6AP1
25	ATP6V0A2	ATP6V0A2
25	B3GALNT2	B3GALNT2
25	B3GALT6	B3GALT6
25	B3GAT3	B3GAT3
25	B3GLCT	B3GLCT
25	B4GALNT1	B4GALNT1
25	B4GALT1	B4GALT1
25	B4GALT7	B4GALT7
25	CCDC115	CCDC115
25	CHST14	CHST14
25	CHST3	CHST3
25	CHST6	CHST6
25	CHSY1	CHSY1
25	COG1	COG1
25	COG4	COG4
25	COG5	COG5
25	COG6	COG6
25	COG7	COG7
25	COG8	COG8
25	CSGALNACT1	CSGALNACT1
25	DOLK	DOLK
25	DPAGT1	DPAGT1
25	DPM1	DPM1
25	DPM2	DPM2
25	DPM3	DPM3
